,Name,Episodes
178,Jessica,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/6']"
179,Jessica,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/27', 'https://rickandmortyapi.com/api/episode/28', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/32', 'https://rickandmortyapi.com/api/episode/39', 'https://rickandmortyapi.com/api/episode/42']"
180,Jessica's Friend,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/17', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/25', 'https://rickandmortyapi.com/api/episode/27']"
181,Jim,['https://rickandmortyapi.com/api/episode/16']
182,Johnny Depp,['https://rickandmortyapi.com/api/episode/8']
183,Jon,['https://rickandmortyapi.com/api/episode/8']
184,Joseph Eli Lipkip,['https://rickandmortyapi.com/api/episode/30']
185,Joyce Smith,['https://rickandmortyapi.com/api/episode/3']
186,Juggling Rick,['https://rickandmortyapi.com/api/episode/28']
187,Karen Entity,['https://rickandmortyapi.com/api/episode/14']
188,Katarina,['https://rickandmortyapi.com/api/episode/24']
189,Keara,['https://rickandmortyapi.com/api/episode/30']
190,Kevin,['https://rickandmortyapi.com/api/episode/4']
191,King Flippy Nips,['https://rickandmortyapi.com/api/episode/9']
192,King Jellybean,['https://rickandmortyapi.com/api/episode/5']
193,Kozbian,['https://rickandmortyapi.com/api/episode/21']
194,Kristen Stewart,['https://rickandmortyapi.com/api/episode/8']
195,Krombopulos Michael,['https://rickandmortyapi.com/api/episode/13']
196,Kyle,['https://rickandmortyapi.com/api/episode/17']
197,Lady Katana,['https://rickandmortyapi.com/api/episode/25']
198,Larva Alien,"['https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21']"
199,Lawyer Morty,['https://rickandmortyapi.com/api/episode/22']
200,Leonard Smith,['https://rickandmortyapi.com/api/episode/3']
201,Lighthouse Keeper,['https://rickandmortyapi.com/api/episode/20']
202,Lil B,"['https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/48']"
203,Lisa,['https://rickandmortyapi.com/api/episode/26']
204,Little Dipper,['https://rickandmortyapi.com/api/episode/19']
205,Lizard Morty,['https://rickandmortyapi.com/api/episode/28']
206,Loggins,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17']"
207,Logic,['https://rickandmortyapi.com/api/episode/25']
208,Long Sleeved Morty,['https://rickandmortyapi.com/api/episode/10']
209,Lucy,['https://rickandmortyapi.com/api/episode/11']
210,Ma-Sha,['https://rickandmortyapi.com/api/episode/7']
211,Magma-Q,['https://rickandmortyapi.com/api/episode/16']
212,Magnesium-J,['https://rickandmortyapi.com/api/episode/16']
213,Man Painted Silver Who Makes Robot Noises,['https://rickandmortyapi.com/api/episode/8']
214,Maximums Rickimus,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']"
215,MC Haps,"['https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/25']"
216,Mechanical Morty,['https://rickandmortyapi.com/api/episode/23']
217,Mechanical Rick,['https://rickandmortyapi.com/api/episode/23']
218,Mechanical Summer,['https://rickandmortyapi.com/api/episode/23']
219,Mega Fruit Farmer Rick,['https://rickandmortyapi.com/api/episode/28']
220,Melissa,['https://rickandmortyapi.com/api/episode/2']
221,Michael Denny and the Denny Singers,['https://rickandmortyapi.com/api/episode/8']
222,Michael Jenkins,['https://rickandmortyapi.com/api/episode/19']
223,Michael McLick,['https://rickandmortyapi.com/api/episode/19']
224,Michael Thompson,['https://rickandmortyapi.com/api/episode/19']
225,Million Ants,['https://rickandmortyapi.com/api/episode/25']
226,Mitch,['https://rickandmortyapi.com/api/episode/27']
227,Mohawk Guy,['https://rickandmortyapi.com/api/episode/23']
228,Morty Mart Manager Morty,['https://rickandmortyapi.com/api/episode/28']
229,Morty Jr.,['https://rickandmortyapi.com/api/episode/7']
230,Morty Rick,['https://rickandmortyapi.com/api/episode/22']
231,Morty Smith,['https://rickandmortyapi.com/api/episode/10']
232,Morty K-22,['https://rickandmortyapi.com/api/episode/28']
233,Morty Smith,['https://rickandmortyapi.com/api/episode/6']
234,Mortytown Loco,['https://rickandmortyapi.com/api/episode/28']
235,Mr. Beauregard,['https://rickandmortyapi.com/api/episode/15']
236,Mr. Benson,['https://rickandmortyapi.com/api/episode/12']
237,Mr. Booby Buyer,['https://rickandmortyapi.com/api/episode/5']
238,Mr. Goldenfold,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/6']"
239,Mr. Goldenfold,"['https://rickandmortyapi.com/api/episode/9', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/17', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/24', 'https://rickandmortyapi.com/api/episode/27', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/39']"
240,Mr. Marklovitz,"['https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/16']"
241,Mr. Meeseeks,"['https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/32']"
242,Mr. Needful,['https://rickandmortyapi.com/api/episode/9']
243,Mr. Poopybutthole,"['https://rickandmortyapi.com/api/episode/15', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/31', 'https://rickandmortyapi.com/api/episode/34', 'https://rickandmortyapi.com/api/episode/51']"
244,Mrs. Lipkip,['https://rickandmortyapi.com/api/episode/30']
245,Mrs. Pancakes,"['https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/27']"
246,Amy Poopybutthole,['https://rickandmortyapi.com/api/episode/31']
247,Mrs. Refrigerator,['https://rickandmortyapi.com/api/episode/15']
248,Mrs. Sanchez,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/14', 'https://rickandmortyapi.com/api/episode/30']"
249,Mrs. Sullivan,['https://rickandmortyapi.com/api/episode/8']
250,Nancy,"['https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/9', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/25', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/36']"
251,Noob-Noob,['https://rickandmortyapi.com/api/episode/25']
252,Numbericon,['https://rickandmortyapi.com/api/episode/16']
253,Octopus Man,['https://rickandmortyapi.com/api/episode/19']
254,Orthodox Jew,['https://rickandmortyapi.com/api/episode/16']
255,Pat Gueterman,['https://rickandmortyapi.com/api/episode/21']
256,Paul Fleishman,['https://rickandmortyapi.com/api/episode/13']
257,Pawnshop Clerk,['https://rickandmortyapi.com/api/episode/7']
258,Pencilvester,['https://rickandmortyapi.com/api/episode/15']
259,Phillip Jacobs,['https://rickandmortyapi.com/api/episode/19']
260,Photography Cyborg,['https://rickandmortyapi.com/api/episode/21']
261,Photography Raptor,['https://rickandmortyapi.com/api/episode/15']
262,Pibbles Bodyguard,['https://rickandmortyapi.com/api/episode/19']
263,Pichael Thompson,['https://rickandmortyapi.com/api/episode/19']
264,Pickle Rick,['https://rickandmortyapi.com/api/episode/24']
265,Piece of Toast,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/17']"
266,Plumber Rick,['https://rickandmortyapi.com/api/episode/28']
267,Poncho,['https://rickandmortyapi.com/api/episode/3']
268,Presidentress of The Mega Gargantuans,['https://rickandmortyapi.com/api/episode/31']
269,Prince Nebulon,['https://rickandmortyapi.com/api/episode/4']
270,Principal Vagina,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6']"
271,Principal Vagina,"['https://rickandmortyapi.com/api/episode/9', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/24', 'https://rickandmortyapi.com/api/episode/27', 'https://rickandmortyapi.com/api/episode/29']"
272,Purge Planet Ruler,['https://rickandmortyapi.com/api/episode/20']
273,Quantum Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']"
274,Randy Dicknose,['https://rickandmortyapi.com/api/episode/19']
275,Rat Boss,['https://rickandmortyapi.com/api/episode/24']
276,Real Fake Doors Salesman,['https://rickandmortyapi.com/api/episode/8']
277,Regional Manager Rick,['https://rickandmortyapi.com/api/episode/28']
278,Regular Legs,['https://rickandmortyapi.com/api/episode/8']
279,Reverse Giraffe,['https://rickandmortyapi.com/api/episode/15']
280,Reverse Rick Outrage,['https://rickandmortyapi.com/api/episode/28']
281,Revolio Clockberg Jr.,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/25']"
282,Rick D. Sanchez III,['https://rickandmortyapi.com/api/episode/28']
283,Rick Guilt Rick,['https://rickandmortyapi.com/api/episode/28']
284,Rick Prime,"['https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']"
285,Rick D-99,['https://rickandmortyapi.com/api/episode/22']
286,Rick D716,['https://rickandmortyapi.com/api/episode/28']
287,Rick D716-B,['https://rickandmortyapi.com/api/episode/28']
288,Rick D716-C,['https://rickandmortyapi.com/api/episode/28']
289,Rick Sanchez,['https://rickandmortyapi.com/api/episode/10']
290,Rick J-22,['https://rickandmortyapi.com/api/episode/28']
291,Rick K-22,['https://rickandmortyapi.com/api/episode/28']
292,Rick Sanchez,['https://rickandmortyapi.com/api/episode/6']
293,Ricktiminus Sancheziminius,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']"
294,Riq IV,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/22']"
295,Risotto Groupon,['https://rickandmortyapi.com/api/episode/26']
296,Risotto's Tentacled Henchman,['https://rickandmortyapi.com/api/episode/26']
297,Robot Morty,['https://rickandmortyapi.com/api/episode/10']
298,Robot Rick,['https://rickandmortyapi.com/api/episode/10']
299,Roger,['https://rickandmortyapi.com/api/episode/3']
300,Ron Benson,['https://rickandmortyapi.com/api/episode/14']
301,Ruben,['https://rickandmortyapi.com/api/episode/3']
302,Samantha,['https://rickandmortyapi.com/api/episode/5']
303,Scary Brandon,['https://rickandmortyapi.com/api/episode/2']
304,Scary Glenn,['https://rickandmortyapi.com/api/episode/2']
305,Scary Terry,['https://rickandmortyapi.com/api/episode/2']
306,Scroopy Noopers,['https://rickandmortyapi.com/api/episode/9']
307,Scropon,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/21']"
308,Scrotian,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/25']"
309,Self-Congratulatory Jerry,['https://rickandmortyapi.com/api/episode/18']
310,Shimshamian,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/25']"
311,Shlaammi,['https://rickandmortyapi.com/api/episode/19']
312,Shleemypants,"['https://rickandmortyapi.com/api/episode/12', 'https://rickandmortyapi.com/api/episode/36']"
313,Shmlamantha Shmlicelli,['https://rickandmortyapi.com/api/episode/8']
314,Shmlangela Shmlobinson-Shmlower,['https://rickandmortyapi.com/api/episode/8']
315,Shmlona Shmlobinson,['https://rickandmortyapi.com/api/episode/8']
316,Shmlonathan Shmlower,['https://rickandmortyapi.com/api/episode/8']
317,Shmlony Shmlicelli,['https://rickandmortyapi.com/api/episode/8']
318,Shmooglite Runner,['https://rickandmortyapi.com/api/episode/26']
319,Shnoopy Bloopers,['https://rickandmortyapi.com/api/episode/26']
320,Shrimply Pibbles,['https://rickandmortyapi.com/api/episode/19']
321,Simple Rick,['https://rickandmortyapi.com/api/episode/28']
322,Slaveowner,['https://rickandmortyapi.com/api/episode/23']
323,Sleepy Gary,['https://rickandmortyapi.com/api/episode/15']
324,Slick Morty,['https://rickandmortyapi.com/api/episode/28']
325,Slippery Stair,"['https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/11']"
326,Slow Mobius,['https://rickandmortyapi.com/api/episode/11']
327,Slow Rick,['https://rickandmortyapi.com/api/episode/28']
328,Snuffles (Snowball),"['https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/7', 'https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/15', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/24', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/30']"
329,Solicitor Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22']"
330,Squanchy,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/21']"
331,Stacy,['https://rickandmortyapi.com/api/episode/27']
332,Stair Goblin,"['https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/25']"
333,Stealy,['https://rickandmortyapi.com/api/episode/19']
334,Steve,['https://rickandmortyapi.com/api/episode/31']
335,Steven Phillips,['https://rickandmortyapi.com/api/episode/14']
336,Stu,['https://rickandmortyapi.com/api/episode/4']
337,Summer Smith,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/22']"
338,Summer Smith,['https://rickandmortyapi.com/api/episode/10']
339,Supernova,['https://rickandmortyapi.com/api/episode/25']
340,Taddy Mason,['https://rickandmortyapi.com/api/episode/20']
341,Taint Washer,['https://rickandmortyapi.com/api/episode/23']
342,Tammy Guetermann,"['https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6']"
343,Tammy Guetermann,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/41']"
344,Teacher Rick,['https://rickandmortyapi.com/api/episode/28']
345,Terry,['https://rickandmortyapi.com/api/episode/16']
346,President Curtis,"['https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/31', 'https://rickandmortyapi.com/api/episode/43', 'https://rickandmortyapi.com/api/episode/45', 'https://rickandmortyapi.com/api/episode/47']"
347,The President of the Miniverse,['https://rickandmortyapi.com/api/episode/17']
348,The Scientist Formerly Known as Rick,['https://rickandmortyapi.com/api/episode/10']
349,Thomas Lipkip,['https://rickandmortyapi.com/api/episode/30']
350,Three Unknown Things,['https://rickandmortyapi.com/api/episode/8']
351,Tinkles,['https://rickandmortyapi.com/api/episode/15']
352,Tiny Rick,['https://rickandmortyapi.com/api/episode/18']
353,Toby Matthews,['https://rickandmortyapi.com/api/episode/18']
354,Todd Crystal,['https://rickandmortyapi.com/api/episode/14']
355,Tom Randolph,['https://rickandmortyapi.com/api/episode/3']
356,Tommy's Clone,['https://rickandmortyapi.com/api/episode/30']
357,Tophat Jones,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/21']"
358,Tortured Morty,['https://rickandmortyapi.com/api/episode/10']
359,Toxic Morty,['https://rickandmortyapi.com/api/episode/27']
360,Toxic Rick,['https://rickandmortyapi.com/api/episode/27']
361,Traflorkian,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/25']"
362,Trandor,['https://rickandmortyapi.com/api/episode/30']
363,Tree Person,['https://rickandmortyapi.com/api/episode/17']
364,Tricia Lange,"['https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/27', 'https://rickandmortyapi.com/api/episode/36', 'https://rickandmortyapi.com/api/episode/38', 'https://rickandmortyapi.com/api/episode/46']"
365,Trunk Morty,['https://rickandmortyapi.com/api/episode/28']
366,Trunk Man,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/28']"
367,Truth Tortoise,['https://rickandmortyapi.com/api/episode/29']
368,Tusked Assassin,['https://rickandmortyapi.com/api/episode/26']
369,Two Guys with Handlebar Mustaches,['https://rickandmortyapi.com/api/episode/8']
370,Tumblorkian,['https://rickandmortyapi.com/api/episode/19']
371,Unity,['https://rickandmortyapi.com/api/episode/14']
372,Unmuscular Michael,['https://rickandmortyapi.com/api/episode/8']
373,Vampire Master,['https://rickandmortyapi.com/api/episode/18']
374,Vance Maximus,['https://rickandmortyapi.com/api/episode/25']
375,Veronica Ann Bennet,['https://rickandmortyapi.com/api/episode/7']
376,Voltematron,['https://rickandmortyapi.com/api/episode/29']
377,Wall Crawling Rick,['https://rickandmortyapi.com/api/episode/22']
378,Wedding Bartender,['https://rickandmortyapi.com/api/episode/21']
379,Unknown Rick,"['https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']"
380,Woman Rick,['https://rickandmortyapi.com/api/episode/10']
381,Worldender,['https://rickandmortyapi.com/api/episode/25']
382,Yaarb,['https://rickandmortyapi.com/api/episode/19']
383,Yellow Headed Doctor,['https://rickandmortyapi.com/api/episode/19']
384,Yellow Shirt Rick,['https://rickandmortyapi.com/api/episode/22']
385,Zarbadar Gloonch,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/18']"
386,Zarbadar's Mytholog,['https://rickandmortyapi.com/api/episode/18']
387,Zeep Xanflorp,['https://rickandmortyapi.com/api/episode/17']
388,Zeta Alpha Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']"
389,Zick Zack,['https://rickandmortyapi.com/api/episode/29']
390,Uncle Steve,['https://rickandmortyapi.com/api/episode/15']
391,Bearded Morty,"['https://rickandmortyapi.com/api/episode/28', 'https://rickandmortyapi.com/api/episode/51']"
392,Roy,['https://rickandmortyapi.com/api/episode/13']
393,Davin,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/6']"
394,Greebybobe,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/25']"
395,Scary Teacher,['https://rickandmortyapi.com/api/episode/2']
396,Fido,['https://rickandmortyapi.com/api/episode/2']
397,Accountant dog,['https://rickandmortyapi.com/api/episode/2']
398,Tiny-persons advocacy group lawyer,['https://rickandmortyapi.com/api/episode/5']
399,Giant Judge,['https://rickandmortyapi.com/api/episode/5']
400,Morty Jr's interviewer,['https://rickandmortyapi.com/api/episode/7']
401,Guy from The Bachelor,['https://rickandmortyapi.com/api/episode/8']
402,Corn detective,['https://rickandmortyapi.com/api/episode/8']
403,Michael Jackson,['https://rickandmortyapi.com/api/episode/8']
404,Trunkphobic suspenders guy,"['https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/11']"
405,Spiderweb teddy bear,['https://rickandmortyapi.com/api/episode/8']
406,Regular Tyrion Lannister,['https://rickandmortyapi.com/api/episode/8']
407,Quick Mystery Presenter,['https://rickandmortyapi.com/api/episode/8']
408,Mr. Sneezy,['https://rickandmortyapi.com/api/episode/8']
409,Two Brothers,['https://rickandmortyapi.com/api/episode/8']
410,Alien Mexican Armada,['https://rickandmortyapi.com/api/episode/8']
411,Giant Cat Monster,['https://rickandmortyapi.com/api/episode/8']
412,Old Women,['https://rickandmortyapi.com/api/episode/8']
413,Trunkphobic guy,['https://rickandmortyapi.com/api/episode/8']
414,Pro trunk people marriage guy,['https://rickandmortyapi.com/api/episode/8']
415,Muscular Mannie,['https://rickandmortyapi.com/api/episode/8']
416,Baby Legs Chief,['https://rickandmortyapi.com/api/episode/8']
417,Mrs. Sullivan's Boyfriend,['https://rickandmortyapi.com/api/episode/8']
418,Plutonian Hostess,['https://rickandmortyapi.com/api/episode/9']
419,Plutonian Host,['https://rickandmortyapi.com/api/episode/9']
420,Rich Plutonian,['https://rickandmortyapi.com/api/episode/9']
421,Rich Plutonian,['https://rickandmortyapi.com/api/episode/9']
422,Synthetic Laser Eels,['https://rickandmortyapi.com/api/episode/11']
423,Pizza-person,['https://rickandmortyapi.com/api/episode/10']
424,Pizza-person,['https://rickandmortyapi.com/api/episode/10']
425,Greasy Grandma,['https://rickandmortyapi.com/api/episode/10']
426,Phone-person,['https://rickandmortyapi.com/api/episode/10']
427,Phone-person,['https://rickandmortyapi.com/api/episode/10']
428,Chair-person,['https://rickandmortyapi.com/api/episode/10']
429,Chair-person,['https://rickandmortyapi.com/api/episode/10']
430,Chair-homeless,['https://rickandmortyapi.com/api/episode/10']
431,Chair-waiter,['https://rickandmortyapi.com/api/episode/10']
432,Doopidoo,['https://rickandmortyapi.com/api/episode/10']
433,Super Weird Rick,['https://rickandmortyapi.com/api/episode/10']
434,Pripudlian,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/25']"
435,Giant Testicle Monster,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/13']"
436,Michael,['https://rickandmortyapi.com/api/episode/12']
437,Michael's Lawyer,['https://rickandmortyapi.com/api/episode/12']
438,Veterinary,['https://rickandmortyapi.com/api/episode/12']
439,Veterinary Nurse,['https://rickandmortyapi.com/api/episode/12']
440,Bearded Jerry,['https://rickandmortyapi.com/api/episode/13']
441,Shaved Head Jerry,['https://rickandmortyapi.com/api/episode/13']
442,Tank Top Jerry,['https://rickandmortyapi.com/api/episode/13']
443,Pink Polo Shirt Jerry,['https://rickandmortyapi.com/api/episode/13']
444,Jerryboree Keeper,['https://rickandmortyapi.com/api/episode/13']
445,Jerryboree Receptionist,['https://rickandmortyapi.com/api/episode/13']
446,Anchor Gear,['https://rickandmortyapi.com/api/episode/13']
447,Gear Cop,['https://rickandmortyapi.com/api/episode/13']
448,Roy's Mum,['https://rickandmortyapi.com/api/episode/13']
449,Roy's Wife,['https://rickandmortyapi.com/api/episode/13']
450,Roy's Son,['https://rickandmortyapi.com/api/episode/13']
451,Simon,['https://rickandmortyapi.com/api/episode/16']
452,Vampire Master's Assistant,['https://rickandmortyapi.com/api/episode/18']
453,Arbolian Mentirososian,"['https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21']"
454,St. Gloopy Noops Nurse,['https://rickandmortyapi.com/api/episode/19']
455,Nano Doctor,['https://rickandmortyapi.com/api/episode/19']
